label	text_a
1	一氧化碳中毒是由于患者有意或意外暴露于一氧化碳环境中，吸入大量一氧化碳所致
0	含有生物活性成分的保健品一定是健康有效的保健品
0	喝漂白剂能预防艾滋病
0	贫血的人不会得高血压
0	吃阿胶补血
0	PX项目致癌性与咖啡同级
1	不要擅自停药：用药后要及时复查，症状改善或消失，并不能说明霉菌性阴道炎已经治愈，只是说明假丝酵母菌暂时受到抑制，并未消灭，此时停药容易造成耐药而反复发作
0	心脏支架没什么用而且有害
0	鱼油可以替代降脂药
0	黄斑是一种病
1	坚果是高热量食物
0	吃伟哥会上瘾
0	按摩店的精油可以保养卵巢
0	喂奶只要给宝宝多吸就可以
1	青光眼越早发现治疗效果越好
0	细菌占人体活细胞的90%
0	牛奶二次加热会破坏营养
0	榴莲会让孩子营养过剩
0	只要不摸灰指甲就不会传染
1	预防：预防心绞痛需要采取低盐、低脂、低糖的饮食，适度运动，戒烟戒酒
0	西瓜内部能长出塑料片
1	宫颈癌调整心态首先，对于癌症，虽然有时您无法做出选择，但还是希望您能够尽量调整好自己的心态
0	干野生蘑菇一定不会让人中毒
1	鼠标手是腕管综合征
0	妊娠纹可以有效预防
0	非阿片类止痛药没有副作用可以大剂量使用
0	苹果烂一点儿也要全部扔掉
0	每15分钟喝一口水保持喉咙湿润可预防新型冠状病毒
0	宝宝喝奶粉会上火
0	甜食、油炸、辛辣食品导致脱发，苹果、鸡肉预防脱发
0	水果很甜是因为打了“甜蜜素”
0	糖尿病人要禁食，采用饥饿疗法
0	只有输液疾病才能好得快
1	罗红霉素与牛奶一起吃吸收更好
1	银屑病会导致低蛋白血症
0	普通体检能预防癌症
0	用硫酸镁消肿会导致皮肤变黑
0	接种狂犬病疫苗能够提供终身免疫
0	哺乳会导致胸部下垂
0	阴道炎患者不能吃辛辣刺激性、油腻食物和海鲜
1	心血管事件的高发时间为上午6:00～10:00
0	自闭症是可以治愈的
1	贫血维生素C：通过食用柑橘类水果和果汁，以及西兰花、西红柿和草莓等，有助于人体更有效的吸收铁元素
1	病毒性心肌炎戒烟戒酒，避免刺激性饮食
0	鱼越小越容易富集毒素
0	高烧会烧坏孩子大脑
1	高血压超重患者少量减重（例如减轻5千克）就会有帮助
0	孕妇产后忌食水果
0	95%的酒精比75%的酒精消毒效果更好
1	频繁使用洗眼液可能破坏泪膜
0	长期服用美托洛尔降压药会损害肝、肾
1	急性冠脉综合征包括以下几种
0	运动后马上按摩可以缓解肌肉酸痛
1	皮脂钳测女性脂肪需要手臂后侧、胯部和腿部三处
0	接种疫苗会导致孩子伤残
0	BMI高的都是胖子
1	一氧化碳中毒重度昏迷并发高热的患者，要注意进行头部降温
0	癌症完全可以自愈
0	钙补多了会导致宝宝头太硬，生不出来
0	经常吸烟的人，身上若没这3处“变粗”，说明肺不错
0	隔离霜可以减少化妆对皮肤的直接损害
1	月经量少提示子宫有问题
1	可见，无论良恶性的脑肿瘤危害都不容小觑
0	茵陈泡茶喝有利胆的功效
1	霉菌性阴道炎阴道感染假丝酵母菌而发生红肿和瘙痒
1	胸腔积液在正常情况下，胸膜腔里有少量液体，在呼吸中起润滑作用
1	哮喘如果外出，需要注意保暖，并且尽量用鼻子呼吸
0	运动员更短命
0	打宫颈癌疫苗会感染HPV
0	暴汗服能减肥
1	肺气肿适当锻炼身体，比如快走、慢跑等，每周至少3次，每次至少30分钟，增强身体的抗病能力
0	绝经激素治疗所有人都可以用
1	有些人在吃了土豆、虾类、坚果和果干或饮酒之后，会出现哮喘症状
1	功能性消化不良不少患者伴有失眠、焦虑、抑郁、头痛、注意力不集中等精神症状
1	喉癌避免接触放射线和有毒化学物质
0	从蘑菇的生长环境可判断其毒性
1	川崎病用药复查：服用阿司匹林患儿应每周来院复查血常规、血沉等指标，评估药物剂量，按医嘱减量；有冠状动脉瘤的患儿应遵医嘱适当延长用药时间，不能私自停药，并定期检测凝血功能
1	滴虫性阴道炎患者应明确治疗的重要性，遵医嘱用药；服药期间禁止饮酒，以免造成严重不良后果[1]
0	虾头有重金属
1	普通痣没有特殊情况可以不用处理
1	宫颈癌如进食量少，则应积极增加能量密度，服用营养粉等
0	向儿童一次接种多种疫苗会使其免疫系统负担过重
1	杨梅、桑葚、草莓、樱桃、油桃、甜瓜都有可能生虫子
1	动脉粥样硬化戒烟
0	有性生活的女性，需化验HPV后再去打HPV疫苗
0	抗生素能有效预防和治疗新型冠状病毒
0	红火龙果不能和牛奶一起吃
0	成都一妇女因吃火锅而失语
1	感冒并发症：包括下呼吸道感染、中耳炎、鼻旁窦炎、心肌炎、急性肾炎等，老年人、儿童和伴有基础疾病的患者更容易出现
1	肺结核患者的家庭护理重点是正确、规律服用药物，以减少耐多药的风险
0	头发爱出油、头皮有白泥、长痘痘，是因为螨虫遍布
1	患者遵循治疗计划，调整健康的生活习惯，都有助于更好的实现地中海贫血的疾病管理
1	幼儿急疹没有疫苗，最有效的预防方式就是避免接触病原体，提高自身免疫力
1	西布曲明会增加心血管病发病率
0	体检发现尿糖阳性就是得了糖尿病
1	一氧化碳中毒经常对生产设备进行维护和检修，防止漏气
0	治疗癌症的化疗手段不完善，尽量不要化疗
0	豆浆中含有豆浆精，喝了对人体有害
1	结肠炎，简言之就是结肠发生的各种炎症性病变
0	剃胎毛可以让宝宝头发快点长出来
0	甜味剂三氯蔗糖致癌
0	每天清晨喝3杯水可防止心脏病发作并治愈其他疾病
1	甲状腺炎患者由于甲状腺受到损害，会出现甲状腺功能亢进或者减退的表现
0	母鸡没有交配生下的蛋肯定有问题，不能吃
0	萝卜不能和酸性水果同吃
0	服用维生素AD和钙应该在上午，不然利用率很低
1	肾病综合征患者在日常生活中要注意休息，并且注意食用盐、蛋白质和脂肪的摄入[4]
1	胸腔积液最常见的症状是呼吸困难、胸闷气短
1	肺炎注射疫苗、少接触病患、勤洗手有助预防
0	秋葵草酸的含量很高，有肾结石和高尿酸的人不能吃
1	扁桃体炎当人体抵抗力降低时，病原体可大量繁殖，侵入扁桃体而引起炎症
0	SSG生命能量液、漂浮仓可治疗多种疾病、逆转青春
0	金银花和绿茶能防控新冠病毒感染
0	玫瑰花茶可以治疗痛经
1	苦丝瓜有毒
0	等离子空气消毒机可以杀灭新型冠状病毒
1	粽子的营养单一，最好不要多吃
1	贫血患者务必及早查明根本病因，在医生的指导下积极采取必要的治疗措施，使病情长期稳定，改善生活质量，减轻对健康的危害
0	研究发现长期喝高盐水的人，血压更低
0	昆明有“注水螃蟹”
0	拔智齿能瘦脸
0	食物（食醋木耳红酒）和保健品可以软化血管
1	面膜的主要功能是暂时性补水
0	服药“一日三次”是按照一日三餐服用
1	引起脑出血的原因有很多，常见有头部创伤、高血压、动脉瘤、血管异常、血液病或出血性疾病、肝病或脑肿瘤
1	脑出血是卒中的一种，多由高血压引起，应尽快治疗
1	急性胆囊炎肥胖者易患胆结石，平时少吃高脂肪、高糖类、高胆固醇的饮品或零食
0	皮肤受伤了吃酱油会变黑
0	西兰花变黄不能吃
1	鱼体内的寄生虫虽普遍，但不难杀灭
0	孕妇喝牛奶可以缓解失眠
0	麦片中含有超标的草甘膦，会致癌
0	微波炉加热或烹煮的食物会致癌，请立即停止使用！
1	疣（赘瘤）或黑痣发生明显变化可能提示癌症风险
0	孩子血骨碱性磷酸酶高就是缺钙
1	丹毒是一个由A组溶血性链球菌引起的急性皮肤
1	穿高跟鞋伤腰
0	两种食物搭配吃致命又致癌
1	癌通常指上皮组织来源的恶性肿瘤
1	对可能引发哮喘症状的食物保持警惕
1	性生活喉癌患者术后会影响外貌及呼吸方式，可能会影响性生活及亲密关系
0	运动饮料是最好的补水方式，普通人也应该常喝
1	卒中没有血液和氧气供应，缺血部分的脑组织就会出现坏死
1	把饭做熟病毒就会被杀死
1	彻底戒烟后，患肺癌或肺癌复发的风险会有所降低
1	不建议肾病患者吃杨桃
0	坐月子有很多饮食禁忌，不能吃生冷海鲜
1	有肥胖、高脂血症等危险因素的中老年人更易患上卒中
0	哺乳期性生活可以不用避孕
1	肺癌常接触粉尘等环境的职业人群，要做好职业防护
1	低血压例如：缓慢站起
0	甲醛会导致白血病
1	哮喘接种肺炎球菌疫苗，可以降低肺炎及其并发症的发生风险
0	蜂蜜水可以排毒
1	无氧代谢不燃烧脂肪
1	附睾炎附睾是一条细长、紧密盘绕的管状器官，紧贴在睾丸的上端和后缘
0	“拍打拉筋”包治百病
1	成人的尿失禁症状可能预示某种严重潜在疾病
1	高血压在心脏收缩时，心室的血液泵入全身时血液对动脉壁产生压力，这就是血压
1	此外，一些工作场所中可能接触石棉、氡、砷、铬、镍、焦油和烟尘等化学物质，增加患肺癌的风险
1	急性喉炎患者应多喝水、多休息、少说话，避免刺激喉部
0	无籽水果含激素有害健康
0	催熟的水果不能吃
0	生病了应该喝粥，粥营养丰富，还能养胃
1	粘连性肠梗阻应该少吃产气食物（牛奶、豆类）
0	红酒养颜
1	散瞳后眼睛怕光看不清楚
1	脑膜炎由各种感染引起的脑膜急性炎症
1	什么是脑震荡？脑震荡(concussion)是一种创伤性脑损伤，由头部或身体受到打击、撞击、跌倒或其他损伤导致颅骨内脑组织受到震荡所引起
0	葡萄上的白霜是农药，吃了会中毒
0	磁化水比普通水更健康，有保健作用，能“包治百病”
1	大多数中耳炎患者经过家庭护理会自行好转
0	吃鸽子能增强免疫力
0	带鱼皮颜色越白，营养价值越高
1	痛风患者不宜多吃水果
1	脑肿瘤脑膜瘤：脑膜是包绕大脑与脊髓的外部组织，发生于脑膜的肿瘤叫做脑膜瘤
1	预防病毒性心肌炎的关键在于增强体质，降低病毒感染风险[6]
1	水痘-带状疱疹病毒引起，传染性很强
0	养猫的孕妇更易生男孩
1	结肠炎日常饮食应以流食、半流食、易消化、能量充足为原则，注意休息，保证睡眠时间，做好保暖措施，还要避免精神刺激
1	脑膜炎球菌疫苗
1	心绞痛日常：患者日常应遵医嘱用药，按时复查，饮食要吃鸡蛋、豆类、瘦肉等低盐低脂的食物，限制动物内脏、油炸、烧烤以及油腻食物
0	胰岛素会让人上瘾
1	疝气如果发现任何异常情况或出现任何不适症状，应该及时告知医护人员
1	肺气肿肺泡是肺部气体交换的主要部位，也是肺的功能单位
0	妊娠呕吐会影响胎儿
1	脑膜炎以发热、头痛和脖颈僵硬为主要表现
1	耳石症积极治疗耳部原发疾病
1	肾炎避免各种腌制食品、方便食品、油炸食品，减轻肾脏压力
0	可以通过防水与否鉴别口罩的真假
1	不同国家的食品保质期不同
0	宝宝出现尿布疹，用湿纸巾擦拭更卫生
1	肠梗阻对于可改变的危险因素，预防方式如下：注意饮食健康：要注意饮食健康卫生，多吃清淡、富含营养的食物，如水果、蔬菜、鱼肉等
0	研究表明：喝茶（绿茶）有助于预防胃癌
0	薯片含有禁止用于婴幼儿食品的添加剂
0	脚气病会引起脚臭
0	医大教授教你用最便宜的药治常见病
0	吃阿奇霉素片可以预防新型冠状病毒
0	运动会折寿
0	钟南山院士建议：全中国人民在家隔离两周
1	病毒性心肌炎通常以病毒感染症状起病，例如呼吸道或胃肠道感染；随后出现心悸、胸痛和呼吸困难
1	脑出血病程长，大部分患者往往没有完全康复就出院
0	多喝水治感冒
0	已找到破解病毒的离子技术，自制铜甘斯水可预防病毒
0	白水能变成牛奶
0	便便黏马桶是大肠癌前兆
0	大蒜是抗癌食物
1	附件炎擅自变换用药方案，可能造成治疗不彻底，形成慢性感染，甚至病原菌耐药
1	支原体肺炎（Mycoplasmapneumonia）是由肺炎支原体引起的急性肺部感染性疾病，以支气管、肺间质（即支气管壁周围组织）的病变为主，常合并有咽炎和支气管炎
0	速成鸭生长速度快，全靠长期注射激素
0	红糖水会致癌
1	有低血压的人，平时可尝试缓慢站起、多喝水、少喝酒或不喝酒、限制或避免摄入咖啡因、穿弹力袜等措施，来避免眩晕的发生
1	微量元素检测，没有必要作为婴儿体检的必检项目
1	吃苹果后腹胀可能是果糖不耐受
1	干性皮肤不宜选用碱性强的化妆品和香皂等
0	转基因作物含有目前科学手段测不出来的有害物质
1	婴儿衔乳姿势不正确容易导致乳腺炎
0	杨梅生来就有虫
0	卵巢畸胎瘤会导致不孕
0	喝“防弹咖啡”可以减肥
1	急性胰腺炎应立即就医
0	胡萝卜吃多了容易不孕
0	银杏皮有毒
1	日常需要注意什么？避免过度使用声带，尤其急性喉炎发作时，切勿大声说话
1	减肥能缓解脂肪肝
0	胆囊炎患者不能吃鸡蛋
1	病毒性心肌炎病毒损害心肌组织结构和功能的主要机制包括：病毒直接损伤和引发人体的自身免疫反应
0	一家四口因“不吃盐，每周吃一瓶酱油”全生病
0	服用小剂量降压药会让体重上升
0	蜂蜜会导致性早熟
0	高热量食物会让人上瘾
1	和糯米粥相比，粽子比较难消化
0	金针菇有毒不能吃
1	慢性咽炎戒烟，远离二手烟
0	猪肉和香菜不能一起吃
1	幼儿急疹该病属于病毒性感染，未合并细菌感染的情况下不适用抗生素；抗病毒药物的疗效不明，副作用显著，不建议常规使用
1	高蛋白膳食有利于减肥增肌
1	整个怀孕的过程大约是280天，也就是40周
1	猩红热不要共用餐具或共享食物：应该提醒儿童，不要和朋友或同学共用餐具，也不要共享同一份食物
0	瘦瘦包敷在肚子上能减肥
1	不是所有的胃癌外科手术都要做全胃切除
0	睡前喝葡萄酒可以减肥
1	中耳炎比如，在飞机起降时张开嘴，不要堵住口、鼻、耳；或者咽一口唾沫；也可以捏住鼻子，抿住嘴，用力鼓腮帮子
0	5片薯片可以提出10毫升油
0	中成药双黄连口服液可抑制新型冠状病毒
0	中老年人驼背可以用背背佳矫正
0	儿童急性中耳炎是因为耳道进水
0	幼儿急疹不能吹风
1	支气管炎常是慢性阻塞性肺疾病的起因
0	喝咖啡会脱发
1	低血压（hypotension）是指血压低于正常水平
1	狂犬病病毒会通过蝙蝠传播
1	戒烟、戒酒：烟草，酒精会破坏胃黏膜，使慢性胃炎发生率明显增高
1	孕妇感染风疹后可传播给胎儿
1	水痘特别是免疫系统功能较弱的人，这一点更为重要
1	银汞补牙会挤压牙体组织，造成牙齿折裂
0	近视能治愈
1	冠心病因担心症状发作而不敢进行锻炼的想法是不正确的
0	乳腺增生是炎症会引发肿瘤
0	不能空腹喝豆浆
0	斯坦福大学：能憋气10秒就没感染新冠病毒
1	冬季是肺结核高发的季节
1	平时喝些中药茶饮，如罗汉果茶、橄榄茶、桑菊杏仁茶以及大海生地茶，有助于改善慢性咽炎
1	过敏性休克过敏反应可波及全身多个系统，进展迅速，关键在于影响呼吸、循环、神经系统的正常功能，引发休克甚至导致死亡
0	北医三院曾海基：中医治疗新冠肺炎320例无一死亡
0	甲鱼和苋菜不能一起吃
0	食盐加碘与甲状腺癌高发有关
0	有高血压的医生没资格看高血压的病人
1	阿片类止痛药的副作用是便秘
1	偏头痛药物作用：如硝酸甘油、西洛他唑、利血平、肼苯哒嗪、雷尼替丁等
0	吃甜品、油炸食品、辛辣刺激的食物会导致脱发
0	细嚼慢咽，更有利于保持身材
0	育龄期女性常吃燕麦等高纤食品会导致不孕
1	癌症高危人群建议定期做早癌筛查
0	5G是新冠病毒的元凶，没有5G就不会爆发疫情
1	使用恩替卡韦治疗乙肝病毒需要挑选时机
0	靠肚脐贴能治便秘/腹泻/痔疮
0	徒手缩阴术可帮助女性缩紧阴道
1	卒中保持健康体重
1	霉菌性阴道炎约75%的女性一生中至少发生过1次感染，45%的女性发生过不小于2次感染
1	慢性肾小球肾炎：这是一组发病机制各不相同，起病隐匿，病情缓慢进展的肾炎
0	雪糕不易融化全靠添加剂，长期食用危害严重
1	新冠肺炎“复阳”患者几乎不具备传染性
1	脑肿瘤患者日常生活中应注意：规律随访治疗后的随访非常重要
0	吃木耳可以软化血管
0	混血儿二三代后会出现基因缺陷
1	26岁以上打宫颈癌HPV疫苗效果会变差
1	风疹发病前1周到皮疹出现后5～7天有传染性，没有症状的患者也可能传播病毒
0	拥有专利的保健品一定是健康有效的保健品
1	而现在需氧菌在慢性鼻窦炎的发病机制中起着主要作用，约占60~80％左右
0	能燃烧的粉丝是塑料做的
0	接受根治手术后肿瘤就不会复发
1	如何预防脑肿瘤？通过改变生活方式，能够预防不少成人肿瘤的发病
1	低血压一般来说，正常人的收缩压为120mmHg，舒张压为80mmHg
1	孕期感染水痘可导致胎儿畸形，疫苗可有效预防
0	孕妇打狂犬病疫苗会影响宝宝
0	从出生起就一定要给宝宝喂水
0	宝宝出生体重越重越好
0	生气、焦虑、紧张会导致母乳有毒
0	种植转基因抗除草剂作物会产生“超级杂草”
1	疝气主要采取手术治疗
1	心绞痛运动：术后第一天通常卧床休息，避免下床走动
0	圆白菜用蜡和塑料制作而成
0	无痛分娩上麻醉对胎儿有影响
0	流感只是小病，打疫苗预防也没效果
1	症状：不同种类的疝气症状表现不同
0	老憋尿影响性能力
0	每天只要刷一次牙就够了
0	温泉可以治疗银屑病
1	过度减肥，可能导致月经（例假）不来，甚至闭经
0	戴多层口罩，才能有效预防新型冠状病毒
1	得了胰腺癌可能会出现上腹部隐痛（束腰带感）
1	原因不明的体重减轻可能提示癌症风险
0	大便粘马桶意味着得了大肠癌
1	喝红糖水、姜茶以及补钙缓解痛经”的说法，并未得到证实
1	此外，服用抗过敏药能帮助控制过敏症状，从而减轻哮喘症状
0	喝醋蛋液包治百病
0	头痛就是高血压
0	乙肝妈妈不能哺乳
0	每天刷牙就不会有牙结石
0	吃柿子会中毒
1	青光眼即便出现视力丧失，也可以维持生活质量
1	曲奇饼干含有致癌物
0	饮料喝多了会得白血病
1	急性肠套叠一年四季均有发病，以春末夏初发病率最高
0	PET/CT可以作为普通体检手段，每个人都要做
1	冠心病减肥
1	宫颈癌上述患者应转至妇科门诊进行阴道镜检查及活检，以明确诊断
1	心肌炎早期表现为感冒样症状，严重者可引发猝死
0	“老中医神奇减肥偏方”真的有效
1	万通筋骨片不良反应多，婴幼儿禁止服用
0	刚烤的面包不能吃
1	如何预防卒中？控制危险因素，治疗能导致卒中的疾病，调整生活方式可以帮助预防卒中
1	按照我国计划免疫程序，8月龄儿童接种麻风疫苗（可预防麻疹、风疹），1岁半采用麻腮风疫苗进行加强接种（可预防麻疹、腮腺炎、风疹）
1	青光眼无法治愈，但可以通过治疗，阻止视神经进一步损伤
0	疫情期间橘子不能边剥边吃
0	痔疮患者不能吃辣椒
1	缺铁性贫血（irondeficiencyanemia，IDA）是由于体内缺乏铁，血红蛋白（Hb）合成减少所致的一类贫血
0	奶茶喝多了会堵塞血管
0	只有急救和分娩才需要去医院
1	支原体感染感染支原体后需要明确感染的是何种支原体
0	卷心菜二次加热会破坏营养，产生致癌物
0	哺乳期妈妈要忌口，不能吃辣椒、生鱼片、芥末、烧烤
0	用菊花叶子、透骨草、桑叶、黑豆煮水洗头能去除头屑
0	无根豆芽用了激素，吃了会伤肝，加重肝脏排毒负担
1	月经期间不宜做手术
1	贫血戒烟：香烟的烟雾中存在大量有害成分，可造成全身性的危害，尤其是损伤心脑血管及呼吸系统
0	化疗会导致癌细胞扩散
0	沿海地区居民食用海产品补碘就足够了
0	童子尿可以预防新型冠状病毒
0	不好好躺着坐月子，会留下腰疼的后遗症
0	焦点访谈称啤酒饮料中含有多菌灵，饮用后可致癌
1	如果出现腹膜炎相关症状，且持续加重，应及时就医
0	左氟沙星眼药水可以防止新冠病毒从眼部进入
1	溃疡性结肠炎无法治愈，治疗主要在于缓解症状
0	发高烧会把宝宝脑子烧坏
0	宝宝易饿、体重增长慢、大便不畅说明母乳质量不好
1	滴虫性阴道炎临床常见的发病危险因素包括育龄妇女、性生活过度活跃、伴有慢性代谢性疾病、免疫功能低下、阴道微生态遭破坏、卫生习惯不佳或卫生条件有限
1	胸腔积液日常注重卧床休息，减少氧气消耗，避免呼吸困难等症状
0	夏练三伏汗要出透
1	过敏性休克只能在发生过敏之后，做好防范措施，以免再次过敏再次发作
0	发酵食品，可以提升免疫力、减肥排毒
1	喜欢吃热烫食物会增加患食道癌风险
0	全胃切除后吃下去的食物不会消化
0	俄罗斯黑果可以治疗糖尿病
1	均衡饮食，定期运动，避免过度饮酒，戒烟可降低胰腺炎的发生风险
1	B超可以作为诊断附睾炎的方法
0	嘴巴馋什么，就是肚子里需要什么
1	戒烟是头等大事无论是电子烟、过滤嘴香烟、低焦油香烟，都是引起肺癌的主要原因
1	耳石症清淡饮食，多吃新鲜蔬菜和水果，少吃辛辣、煎炸、油腻食品
0	“网红黑色冰淇淋”可以排毒养颜
0	女生洗澡时站着尿尿会得妇科病和泌尿系统疾病
0	低脂奶酪含有添加剂不能吃
0	生吃西红柿等于抽烟
0	可以通过自己吃碘片预防核辐射
1	急性冠脉综合征规律服药
1	偏头痛但需要注意的是，如果红酒或巧克力也是常见诱发因素，那么在高温天气则应避免喝红酒或吃巧克力
1	为了避免将水痘传染给他人，患者应该自觉远离易被水痘病毒感染的人群
0	常喝酒可延年益寿，嗜饮咖啡易短命
1	中暑的发生与环境因素、个体因素及训练因素（体力活动）均密切相关
1	轻型地中海贫血是最常见的形式，一般不需要治疗
0	黑松露可以增强体质、提高性能力
1	脑震荡瞳孔左右大小不一
1	水痘可以尝试使用清凉的敷料或服用抗组胺药物等方式止痒
0	猪牛羊肉等红肉被列为致癌物，不能吃
0	三伏天喝热水能“逼寒气”
0	泰国小菠萝中含有损害肾脏的物质，不能食用
1	月经量多提示子宫有问题
0	心脏彩超可以诊断冠心病
0	红糖、生姜、大葱白和大蒜熬水喝，不会感染新冠病毒
1	胆囊炎手术治疗包括胆囊切除术、部分胆囊切除术、胆囊造口术、超声引导下经皮肝胆囊穿刺引流术
1	蜂蜜有一定止咳作用
1	溃疡性结肠炎一种炎症性肠病，通常累及直肠和下段结肠
1	日常应注重饮食卫生，处理食物过程中应注意以下4个方面：烹饪：确保食物加热的时间足够长，以杀灭可能引起急性胃肠炎的病原体
1	如果十二指肠溃疡的症状轻微，可以通过自我干预来缓解症状，如戒烟、戒酒、改变饮食不良习惯等
0	葡萄表面白霜是农药残留
0	洋葱泡酒能“养生”
1	中耳炎当中耳和鼻咽部的通道——咽鼓管由于各种原因发生堵塞、出现功能障碍时，就会造成鼻腔的气体进入中耳困难
1	肺气肿主要症状包括胸闷、气促、咳嗽、咳痰、呼吸困难、心慌，以及口唇、指甲发青发紫等
0	小孩发热服用布洛芬混悬液会致死
0	纹眉会导致健康的人患上白癜风
0	苦参注射液中成药已经被证实具有显著抗癌作用
0	面粉增筋剂（偶氮甲酰胺）致癌
0	癌症是缺乏维生素B17（苦杏仁苷）引起的
0	蜂蜜柚子茶可以保护吸烟者的健康
0	顺产生完孩子需要用骨盆带收骨盆
0	科学家解锁绿茶新功能：喝绿茶能治疗糖尿病
0	奶茶中添加色素日落黄会导致慢性中毒
1	就诊时，医生通过阴道pH值检测、阴道分泌物涂片检查和氨试验，可以确诊细菌性阴道病
0	黑色素瘤是皮肤上的痣摩擦癌变产生
0	可以通过手脚长短推测阴茎大小
0	甲减不能喝咖啡
1	附件炎都是由于生殖系统（如经外阴、阴道、子宫颈、子宫）或盆腔内其他临近器官（如阑尾）受到感染后，逐步蔓延而来
0	所有癌症都不需要化疗
0	大闸蟹抗生素喂食超标
1	气胸轻症患者可能没有症状，而病情严重的患者，症状会很快出现，甚至可能导致休克
1	盆腔炎表现为下腹部疼痛、下坠感，白带异常，发热等
1	人乳头状病毒（HPV）持续感染是导致宫颈癌的主因
1	被蜱虫叮咬患病后，病毒会“人传人”
1	支原体肺炎使用合适的抗生素治疗，可缩短病程
0	吃表皮上黑斑多的香蕉能抗癌
0	放血疗法可以有效治疗疾病
0	蒸锅水易致癌
0	突发心脏病，做“深呼吸+咳嗽”的组合运动可以自救
0	空腹吃山楂会伤胃
0	脑场意识健身法可以治疗癌症
1	地中海贫血孕前可进行遗传咨询
1	轻型地中海贫血一般不会导致任何症状
0	宝宝晚睡会长不高
0	中科院：吃肉相当5粒避孕药，小学生检出兽用抗生素
1	多数癌症是可以预防的
0	孕妇不能使用奥司他韦（达菲）
0	虾皮可以补钙
1	抗病毒的感冒药没有什么用
0	含乳饮料就是糖兑白开水
0	翠绿色海带是被色素染的，一烫就会变色
0	酱油会让伤口变黑，孕妇吃了胎儿会变黑
0	水疗可以提高免疫力，治疗癌症
1	鼻窦炎少数患者可发生继发性贫血、发育障碍、风湿病、关节痛、哮喘、胃肠或肾脏疾病等
0	杨梅酒越陈越好
0	车厘子吃多了，会导致铁中毒和氰化物中毒
0	杏核可以直接敲开吃杏仁
0	药片可以直接干吞
0	肾功能障碍和透析的患者不能食用奥司他韦（达菲）
1	有双眼发红+发痒+流眼泪症状可能是过敏
1	急性冠脉综合征去除危险因素，避免发作诱因，预防复发
1	及时治疗感染：如果患有细菌、真菌、厌氧菌感染，应该及时接受治疗，以避免病菌扩散，侵入血液，引起败血症
0	草莓长得丑是因为打了激素
0	花生黄瓜一起吃易致腹泻
1	冠心病限制饮酒次数和饮酒量
1	构音障碍的卒中患者，可采用降低语速、用力发音、手势语等方法来应对
1	金针菇吃下去后会以“原样”的形式从身体里出来
1	肺动脉高压在使用任何非处方药、维生素制剂或中草药制剂之前需咨询医生
1	胆囊炎注意饮食习惯，避免不规律饮食、暴饮暴食、高脂肪饮食和酗酒等，避免疼痛、焦虑和恐惧等精神因素的影响
0	羊奶皂添加羊奶，对皮肤有神奇功效
1	慢性支气管炎是我国常见的多发病，特别在老年人发病率更高，约占老年人总数的10%～15%
1	缺铁性贫血此外，铁剂不要和下列食品一起服用：茶、咖啡、巧克力和其他含咖啡因的食物或饮料
1	低血压少喝酒或不喝酒
